source_md,link,resolved_path,exists
docs/FRONTEND_INVESTIGATION_REPORT_UPDATED.md,07_Reports.md,docs/07_Reports.md,YES
docs/07_Reports.md,FRONTEND_INVESTIGATION_REPORT.md,docs/FRONTEND_INVESTIGATION_REPORT.md,YES
docs/07_Reports.md,FRONTEND_INVESTIGATION_REPORT_UPDATED.md,docs/FRONTEND_INVESTIGATION_REPORT_UPDATED.md,YES
docs/07_Reports.md,FRONTEND_IMPROVEMENTS_PROGRESS.md,docs/FRONTEND_IMPROVEMENTS_PROGRESS.md,YES
docs/07_Reports.md,FRONTEND_COMPLETION_SUMMARY.md,docs/FRONTEND_COMPLETION_SUMMARY.md,YES
docs/07_Reports.md,project/PROJECT_COMPLETION_FINAL.md,docs/project/PROJECT_COMPLETION_FINAL.md,NO
docs/07_Reports.md,internal/archives/reports/consolidated_reports.md,docs/internal/archives/reports/consolidated_reports.md,NO
docs/PLUGIN_ARCHITECTURE_RECOMMENDATIONS.md,./PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,docs/PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,YES
docs/02_Developer_Guide.md,developers/README.md,docs/developers/README.md,YES
docs/02_Developer_Guide.md,api/README.md,docs/api/README.md,NO
docs/02_Developer_Guide.md,API_DOCUMENTATION.md,docs/API_DOCUMENTATION.md,YES
docs/02_Developer_Guide.md,developers/contributing.md,docs/developers/contributing.md,NO
docs/02_Developer_Guide.md,developers/TESTING_DOCUMENTATION.md,docs/developers/TESTING_DOCUMENTATION.md,NO
docs/02_Developer_Guide.md,deployment/ci-cd.md,docs/deployment/ci-cd.md,NO
docs/02_Developer_Guide.md,developers/FRONTEND_STANDARDS.md,docs/developers/FRONTEND_STANDARDS.md,NO
docs/PLUGIN_MIGRATION_EXECUTION_PLAN.md,./PLUGIN_ARCHITECTURE_RECOMMENDATIONS.md,docs/PLUGIN_ARCHITECTURE_RECOMMENDATIONS.md,YES
docs/PLUGIN_MIGRATION_EXECUTION_PLAN.md,./PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,docs/PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,YES
docs/PLUGIN_MIGRATION_EXECUTION_PLAN.md,./PLUGIN_TAXONOMY_AND_GROUPING.md,docs/PLUGIN_TAXONOMY_AND_GROUPING.md,YES
docs/06_User_Guides.md,users/getting-started.md,docs/users/getting-started.md,NO
docs/06_User_Guides.md,users/tutorials/first-case.md,docs/users/tutorials/first-case.md,NO
docs/06_User_Guides.md,users/tutorials/fraud-analysis.md,docs/users/tutorials/fraud-analysis.md,NO
docs/06_User_Guides.md,users/cases.md,docs/users/cases.md,NO
docs/06_User_Guides.md,users/troubleshooting.md,docs/users/troubleshooting.md,NO
docs/PLUGIN_TAXONOMY_AND_GROUPING.md,./PLUGIN_ARCHITECTURE_RECOMMENDATIONS.md,docs/PLUGIN_ARCHITECTURE_RECOMMENDATIONS.md,YES
docs/PLUGIN_TAXONOMY_AND_GROUPING.md,./PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,docs/PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,YES
docs/05_Architecture_and_Design.md,architecture/C4_DIAGRAMS.md,docs/architecture/C4_DIAGRAMS.md,NO
docs/05_Architecture_and_Design.md,architecture/FULL_DESIGN_SPEC.md,docs/architecture/FULL_DESIGN_SPEC.md,NO
docs/05_Architecture_and_Design.md,PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,docs/PLUGIN_ARCHITECTURE_MIGRATION_PLAN.md,YES
docs/05_Architecture_and_Design.md,SYSTEM_ORCHESTRATION_FRAMEWORK.md,docs/SYSTEM_ORCHESTRATION_FRAMEWORK.md,NO
docs/01_Project.md,project/master_plan.md,docs/project/master_plan.md,NO
docs/01_Project.md,project/master_todo.md,docs/project/master_todo.md,NO
docs/01_Project.md,project/roadmap.md,docs/project/roadmap.md,NO
docs/01_Project.md,project/PERFECTION_ROADMAP.md,docs/project/PERFECTION_ROADMAP.md,NO
docs/01_Project.md,project/IMPLEMENTATION_RECORD.md,docs/project/IMPLEMENTATION_RECORD.md,NO
docs/01_Project.md,project/phases/,docs/project/phases,NO
docs/01_Project.md,SYSTEM_ORCHESTRATION_FRAMEWORK.md,docs/SYSTEM_ORCHESTRATION_FRAMEWORK.md,NO
docs/DOCUMENTATION_INDEX.md,01_Project.md,docs/01_Project.md,YES
docs/DOCUMENTATION_INDEX.md,02_Developer_Guide.md,docs/02_Developer_Guide.md,YES
docs/DOCUMENTATION_INDEX.md,03_Standards_and_Policies.md,docs/03_Standards_and_Policies.md,YES
docs/DOCUMENTATION_INDEX.md,04_Operations_and_Deployment.md,docs/04_Operations_and_Deployment.md,YES
docs/DOCUMENTATION_INDEX.md,05_Architecture_and_Design.md,docs/05_Architecture_and_Design.md,YES
docs/DOCUMENTATION_INDEX.md,06_User_Guides.md,docs/06_User_Guides.md,YES
docs/DOCUMENTATION_INDEX.md,07_Reports.md,docs/07_Reports.md,YES
docs/DOCUMENTATION_INDEX.md,API_DOCUMENTATION.md,docs/API_DOCUMENTATION.md,YES
docs/DOCUMENTATION_INDEX.md,internal/archives/,docs/internal/archives,YES
docs/DOCUMENTATION_INDEX.md,01_Project.md,docs/01_Project.md,YES
docs/DOCUMENTATION_INDEX.md,02_Developer_Guide.md,docs/02_Developer_Guide.md,YES
docs/DOCUMENTATION_INDEX.md,03_Standards_and_Policies.md,docs/03_Standards_and_Policies.md,YES
docs/DOCUMENTATION_INDEX.md,04_Operations_and_Deployment.md,docs/04_Operations_and_Deployment.md,YES
docs/DOCUMENTATION_INDEX.md,05_Architecture_and_Design.md,docs/05_Architecture_and_Design.md,YES
docs/DOCUMENTATION_INDEX.md,06_User_Guides.md,docs/06_User_Guides.md,YES
docs/DOCUMENTATION_INDEX.md,07_Reports.md,docs/07_Reports.md,YES
docs/DOCUMENTATION_INDEX.md,internal/archives/README.md,docs/internal/archives/README.md,YES
docs/DOCUMENTATION_INDEX.md,users/,docs/users,NO
docs/DOCUMENTATION_INDEX.md,developers/,docs/developers,YES
docs/DOCUMENTATION_INDEX.md,administrators/,docs/administrators,NO
docs/DOCUMENTATION_INDEX.md,api/,docs/api,NO
docs/DOCUMENTATION_INDEX.md,deployment/,docs/deployment,YES
docs/DOCUMENTATION_INDEX.md,project/,docs/project,NO
docs/DOCUMENTATION_INDEX.md,internal/,docs/internal,YES
docs/DOCUMENTATION_INDEX.md,internal/tools/DOCUMENTATION_SYSTEM_REDESIGN_PROPOSAL.md,docs/internal/tools/DOCUMENTATION_SYSTEM_REDESIGN_PROPOSAL.md,NO
docs/DOCUMENTATION_INDEX.md,users/getting-started.md,docs/users/getting-started.md,NO
docs/DOCUMENTATION_INDEX.md,users/faq.md,docs/users/faq.md,NO
docs/DOCUMENTATION_INDEX.md,users/project_selection.md,docs/users/project_selection.md,NO
docs/DOCUMENTATION_INDEX.md,users/dashboard.md,docs/users/dashboard.md,NO
docs/DOCUMENTATION_INDEX.md,users/cases.md,docs/users/cases.md,NO
docs/DOCUMENTATION_INDEX.md,users/investigation.md,docs/users/investigation.md,NO
docs/DOCUMENTATION_INDEX.md,users/ingestion.md,docs/users/ingestion.md,NO
docs/DOCUMENTATION_INDEX.md,users/network-analysis.md,docs/users/network-analysis.md,NO
docs/DOCUMENTATION_INDEX.md,users/settings.md,docs/users/settings.md,NO
docs/DOCUMENTATION_INDEX.md,users/tutorials/first-case.md,docs/users/tutorials/first-case.md,NO
docs/DOCUMENTATION_INDEX.md,users/tutorials/fraud-analysis.md,docs/users/tutorials/fraud-analysis.md,NO
docs/DOCUMENTATION_INDEX.md,developers/setup.md,docs/developers/setup.md,NO
docs/DOCUMENTATION_INDEX.md,developers/architecture.md,docs/developers/architecture.md,NO
docs/DOCUMENTATION_INDEX.md,developers/ui-components.md,docs/developers/ui-components.md,NO
docs/DOCUMENTATION_INDEX.md,administrators/installation.md,docs/administrators/installation.md,NO
docs/DOCUMENTATION_INDEX.md,api/README.md,docs/api/README.md,NO
docs/DOCUMENTATION_INDEX.md,deployment/docker.md,docs/deployment/docker.md,NO
docs/DOCUMENTATION_INDEX.md,project/roadmap.md,docs/project/roadmap.md,NO
docs/DOCUMENTATION_INDEX.md,project/PERFECTION_ROADMAP_IMPLEMENTATION_LOG.md,docs/project/PERFECTION_ROADMAP_IMPLEMENTATION_LOG.md,NO
docs/DOCUMENTATION_INDEX.md,reports/DIAMOND_STANDARD_CERTIFICATION_FINAL.md,docs/reports/DIAMOND_STANDARD_CERTIFICATION_FINAL.md,NO
docs/DOCUMENTATION_INDEX.md,SYSTEM_ORCHESTRATION_FRAMEWORK.md,docs/SYSTEM_ORCHESTRATION_FRAMEWORK.md,NO
docs/DOCUMENTATION_INDEX.md,reports/CONSOLIDATED_SYSTEM_STATUS_2025_12_16.md,docs/reports/CONSOLIDATED_SYSTEM_STATUS_2025_12_16.md,NO
docs/DOCUMENTATION_INDEX.md,reports/archived/,docs/reports/archived,NO
docs/DOCUMENTATION_INDEX.md,internal/archives/PROJECT_COMPLETION_ARCHIVE.md,docs/internal/archives/PROJECT_COMPLETION_ARCHIVE.md,NO
docs/DOCUMENTATION_INDEX.md,internal/archives/SYSTEM_DIAGNOSTICS_FRAMEWORK.md,docs/internal/archives/SYSTEM_DIAGNOSTICS_FRAMEWORK.md,NO
docs/DOCUMENTATION_INDEX.md,internal/archives/STRATEGIC_ROADMAP.md,docs/internal/archives/STRATEGIC_ROADMAP.md,NO
