Original path|Title|H2 headings|Target location|Proposed subsection heading|Action|Note|Estimated lines added to target if merged
FRONTEND_INVESTIGATION_REPORT.md|Frontend Implementation Investigation Report|Executive Summary,1. Meta Agent UX & Human-AI Interaction,2. Performance & Real-Time Architecture|docs/07_Reports.md|Frontend Implementation Investigation Report (Investigation)|move-as-detailed|Large investigative report (>500 lines); preserve content as detailed file|0
FRONTEND_INVESTIGATION_REPORT_UPDATED.md|Frontend Implementation Investigation Report - UPDATED|Executive Summary,1. Meta Agent UX & Human-AI Interaction,2. Performance & Real-Time Architecture|docs/07_Reports.md|Frontend Implementation Investigation Report — Updated|move-as-detailed|Updated/perfected investigation (detailed, long); keep full text|0
FRONTEND_IMPROVEMENTS_PROGRESS.md|Frontend Improvements - Final Progress Report|Summary,✅ Completed Tasks,📊 Impact Summary|docs/07_Reports.md|Frontend Improvements — Final Progress Report|merge-into-index|Progress report (moderate size); good to summarize into reports index|5
FRONTEND_COMPLETION_SUMMARY.md|Frontend Recommendations - COMPLETION SUMMARY|MAJOR ACHIEVEMENTS,Phase 1: Performance & Virtualization,Phase 4: Security & Sanitization|docs/07_Reports.md|Frontend Completion Summary|merge-into-index|Completion summary; concise summary suitable for index|4
FRONTEND_IMPROVEMENTS_PLAN.md|Frontend Improvements Implementation Plan|Phase 1: Performance & Virtualization,Phase 2: HITL Integration,Phase 3: Keyboard Navigation|docs/01_Project.md|Frontend Improvements — Implementation Plan|merge-into-index|Implementation plan (actionable roadmap); summarize into project index|5
API_DOCUMENTATION.md|API Documentation|Overview,Authentication,Core Resources|docs/02_Developer_Guide.md|API Documentation (summary)|move-as-detailed|Developer-facing API reference — preserve full details in API subfolder|0
api/README.md|📊 378x492 Fraud Detection API Documentation|🔐 Authentication,🌐 Base URLs,📊 Core API Endpoints|docs/02_Developer_Guide.md|API — Reference (README)|move-as-detailed|Canonical API README; keep verbatim in api/ subfolder|0
api/README_backup.md|378x492 Fraud Detection API — Canonical Reference (Merged)|Change impact (keep in sync),(1) Content from original |docs/internal/archives/api/README_backup.md|API README (archival backup)|archive|Backup/merged copy — archive for provenance|0
GITHUB_SECRETS_SETUP.md|GitHub Secrets Configuration Guide|Required Secrets,Deployment Environment Secrets,Security Best Practices|docs/04_Operations_and_Deployment.md|CI/CD & Secrets Setup|move-as-detailed|Operational secrets/setup guide; keep exact steps (sensitive but not legal) in operations|0
README.md|378x492 Fraud Detection Platform Documentation|New Audience-Centric Organization,Quick Navigation,Preserved Content|docs/DOCUMENTATION_INDEX.md|Documentation Index (canonical)|merge-into-index|Top-level docs index/README — merge short summary into documentation index|3
administrators/README.md|README|Documentation Index,Administrator Resources,Quick References|docs/02_Developer_Guide.md|Administrators — Overview|move-as-detailed|Admin guide belongs under admins subfolder; preserve for ops|0
administrators/installation.md|System Installation & Initial Setup|Installation Methods,Initial Configuration,User Management Setup|docs/administrators/installation.md|Installation & Initial Setup|move-as-detailed|Operational install guide — keep as detailed file under administrators|0
administrators/operations.md|Operations Guide|Diagnostics,Monitoring,Testing,Runbooks & Links|docs/04_Operations_and_Deployment.md|Operations Guide — Monitoring & Diagnostics|move-as-detailed|Operations procedures belong in administrators/deployment area|0
administrators/SECURITY.md|Security — Canonical Full (Merged)|Security Architecture,Authentication & Authorization,Data Protection & Compliance|docs/03_Standards_and_Policies.md|Security — Canonical Consolidation|move-as-detailed|Consolidated security guidance; policy/audit content — preserve verbatim|0
standards/comprehensive_standards_framework.md|378x492 Fraud Detection Platform - Comprehensive Standards Framework|Document Information,Table of Contents,1. Information Security Policy|docs/03_Standards_and_Policies.md|Comprehensive Standards Framework|move-as-detailed|Major standards/policy doc (legal/compliance) — preserve verbatim|0
standards/policy/information_security_policy.md|Information Security Policy for 378x492 Fraud Detection Platform|Document Information,1. Purpose,2. Scope,3. Policy Objectives|docs/03_Standards_and_Policies.md|Information Security Policy|move-as-detailed|Policy/legal file — preserve verbatim for compliance|0
standards/policy/statement_of_applicability.md|Statement of Applicability for 378x492 Fraud Detection Platform||docs/03_Standards_and_Policies.md|Statement of Applicability|move-as-detailed|SOA (policy/legal/audit) — must be preserved verbatim|0
